title,platform,developer,genre,rating,release_date,summary,meta_score,meta_overview,meta_pos,meta_mixed,meta_neg,user_score,user_overview,user_pos,user_mixed,user_neg,n_user_score
Aaru's Awakening,PlayStation 4,Lumenox ehf,"['Action', 'Platformer', '2D']",E,2015-04-07,"Wonderful graphic,Original mechanics,Great bosses,Spinal cord action. F**k you, casuals. Everyone who love platformers will enjoy this masterpiece. But I warn you, it will not be a love at the first glance.",59,Mixed or average reviews,0.0,5.0,1.0,1.8,Overwhelming dislike,11.0,12.0,109.0,18.0
Absolute Drift: Zen Edition,PlayStation 4,Flippfly,"['Racing', 'Arcade', 'Automobile']",E,2016-08-23,"This jewel of a game is about one thing.  Drifting.  First and foremost, the music in the game is absolutely awesome if you like electronic type music.  Very chill, very zen.  The graphics are very minimalistic, but that is fine because its about the game play.  How is the game play?  Very challenging and will take a bit to get the hang of.  You can use automatic transmission which makes it a little easier or go manual where you have full control.  Also 3 different levels of difficulty.  There are different missions to accomplish, but it is a very linear type game.  Try and drift, beat specific goals on courses, get the best score you can, go to the next.  With that said, for a $12.00 game, i feel i am more than getting my money's worth.",78,Generally favorable reviews,3.0,1.0,0.0,7.3,Mixed or average reviews,3.0,3.0,1.0,73.0
Absolver,PlayStation 4,Sloclap,"['Role-Playing', 'Action RPG']",T,2017-08-29,"In the ruins of the fallen Adal Empire, you awaken with a mysterious mask on your face, and faint recollections of an esoteric ceremony. Freeing you from hunger, thirst, and even death, the mask is the creation of the Guides, the rulers of these lands, who have placed you here to determine whether you are worthy of becoming part of the elite corps of Absolvers. As you wander these forsaken lands, encountering other Prospects like you, you will learn new combat styles, acquire weapons, gear and armor, and build a team of warriors with whom to fight side by side in Arenas of combat. [Sony]",69,Mixed or average reviews,7.0,17.0,1.0,5.8,Mixed or average reviews,21.0,8.0,15.0,58.0
Abyss Odyssey: Extended Dream Edition,PlayStation 4,ACE Team,"['Action Adventure', 'Linear']",T,2015-07-28,"Its a never-ending dream.... Fall into the dream world of Abyss Odyssey-this time on PlayStation4 system!  With the addition of an online PvP mode, as well as upgraded graphics and an overall smoother play experience, PlayStation4 system owners will truly see the best version of this visually stunning action adventure game!    From indie Chilean developer ACE Team comes Abyss Odyssey, an Art Nouveau-styled, side-scrolling action adventure game featuring a complex fighting engine in procedurally generated levels that destine its three warriors to battle for an eternity.  Chain your attack and release a flurry of blows in order to survive what lies beneath.",65,Mixed or average reviews,3.0,11.0,2.0,6.0,Mixed or average reviews,3.0,2.0,2.0,60.0
Abyss: The Wraiths of Eden,PlayStation 4,Artifex Mundi,"['Puzzle', 'Hidden Object']",T,2017-10-20,"Discover and investigate a forgotten underwater city built in an Art-Deco style. This former utopia hides many spine-chilling secrets and supernatural forces, the remains of which still lurk in every corner.",0,No score yet,0.0,3.0,0.0,0.0,No user score yet,0.0,3.0,0.0,0.0
ABZU,PlayStation 4,Giant Squid,"['Fantasy', 'Action Adventure', 'Adventure', 'General', '3D', 'Third-Person']",E,2016-08-02,"ABZÛ is an grand descent into the depths of the sea, where players explore ocean environments with fluid swimming controls. The experience draws inspiration from the deep innate narrative that we carry within our subconscious: the story of ABZÛ is a universal myth that resonates across cultures. The name references a concept from the oldest mythologies; it is the combination of the two ancient words AB, meaning ocean, and ZÛ, meaning to know. ABZÛ is the ocean of wisdom. [505 Games]",78,Generally favorable reviews,53.0,16.0,3.0,7.7,Generally favorable reviews,172.0,53.0,30.0,77.0
ACA NeoGeo - Fatal Fury 3: Road to the Final Victory,PlayStation 4,Hamster,"['Action', 'Fighting', '2D']",T,2017-08-31,,0,No score yet,0.0,0.0,0.0,0.0,No user score yet,1.0,0.0,0.0,0.0
ACA NeoGeo - Top Hunter: Roddy & Cathy,PlayStation 4,SNK,"['Action', 'Platformer', '2D']",E10+,2018-01-08,"Clean up the Space Pirates! Time: The age of space colonialism. The dreaded Klaptons are on the loose, turning peaceful settlements into ghost towns. Searching for the price on the Klapton's heads come the cosmic bounty hunters RODDY and CATHY. Do these two have what it takes to save the universe? Can they work together without competing for the rewards themselves? Their fate, and the fate of the free universe is IN YOUR HANDS - the legendary team known as TOP HUNTER!",0,No score yet,0.0,0.0,0.0,0.0,No user score yet,1.0,0.0,1.0,0.0
ACA NeoGeo: Aero Fighters 2,PlayStation 4,Hamster,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Vertical']",E10+,2017-08-03,"Up in the skies above 8 countries, control one of 8 fighters and join the sonic dogfight! With 4 level shooting and special weapons, blow out your enemies!",0,No score yet,0.0,0.0,0.0,0.0,No user score yet,1.0,0.0,0.0,0.0
ACA NEOGEO: Alpha Mission II,PlayStation 4,SNK Playmore,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Vertical']",E,2017-01-10,"The lunar nightmare of a bloody 200-year space war was thought to be over in the ""original"" ALPHA MISSION. But now with the advent of more technically sophisticated weapons, the evil ""Fulvar"" and his ""Seven Star Alliance"" have returned to destroy all planets that stand in their way of the ultimate target... Earth! Now in the year of 2525! Your mission as pilot of the new SYD-FX fighter is to use every weapon at your disposal to rid the galaxy once and for all of the evil that now dominates and threatens Earth. So suit up, hold your breath, and stand ready for unbelievable graphics and stereo sound that'll suck you into the far reaches of deep, dark inner space. Be prepared... you may never come back!",0,No score yet,0.0,0.0,0.0,0.0,No user score yet,0.0,0.0,1.0,0.0
ACA NeoGeo: Art of Fighting,PlayStation 4,SNK,"['Action', 'Fighting', '2D']",T,2017-04-20,"Being a great fighter takes more than strength and pain. You need wisdom and need to win at any cost. Ryo Sakazaki's sister has been kidnapped and it leads him and Robert, two of the greatest fighters of all time, on the most dangerous search of their lives. Their interrogations turn out to be more bloody than they like, but each answer leads them closer to the truth. Use their special skills to find Ryo's sister and discover the terrifying truth in the one-player Story mode. Or choose Versus mode and pick from any of the bosses and fight with any of the other characters. You'll discover magic techniques to master THE ART OF FIGHTING!",0,No score yet,0.0,0.0,0.0,0.0,No user score yet,0.0,1.0,0.0,0.0
ACA NeoGeo: Art of Fighting 2,PlayStation 4,SNK,"['Action', 'Fighting', '2D']",T,2017-08-11,"RYO and ROBERT return along with 10 of the meanest maulers of SOUTHTOWN. Use new characters and the RAGE GAUGE, visit new places, meet new enemeis; then push their faces in with your newly acquired arts of ARMAGEDDON! Battle your way to the breath-stealing finish!",0,No score yet,0.0,0.0,0.0,0.0,No user score yet,0.0,0.0,0.0,0.0
ACA NeoGeo: Blazing Star,PlayStation 4,Yumekobo,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Horizontal']",,2018-02-08,"AaABLAZING STARAaA, legendary NEOGEO shooting game with its unique game system and its gorgeous graphics, lands on iPhone/iPod touch! AaABLAZING STARAaA features integre a multitude of exciting options such as a AaApoint scaling systemAaA for insane scores!Shoot down your enemies with your powerful options and weapons! ★Not only a perfect port of the original NEOGEO game! In addition to its classic AaAARCADE MODEAaA, this perfect conversion of AaABLAZING STARAaA includes a AaAMISSION MODEAaA, allowing you to select in which stage you want to play!You can now train yourself in your favorite stages or those which give you a hard time! ★Many spaceships with various characteristics! In total, 6 spaceships with various strengths (spaceships for beginners, high scoring or with an increased defense) are available to selection in AaABLAZING STARAaA. AaACHARGED SHOTSAaA, which vary depending on the selected spaceship, worth a watch! ★Intense cooperative gameplay via the Bluetooth function! Besides the AaAMAIN MISSIONAaA game mode, AaABLAZING STARAaA can be doubly enjoyed by playing in AaAMULTIPLAYERAaA via the Bluetooth function! Will you be able to clear the hardest stages with your friends? ★Smooth controls! Move your spaceship by tapping the game screen in AaATOUCH CONTROLAaA, or maneuver it via the Virtual Pad displayed in the bottom left corner of the screen in AaAPAD CONTROLAaA! ★Compatible with AaAGAME CENTERAaA! Complete a maximum of AaAACHIEVEMENTSAaA in order to increase your Shooter Level!Beat the best scores and become WorldAaas Number 1!!",0,No score yet,0.0,0.0,0.0,0.0,No user score yet,0.0,0.0,0.0,0.0
ACA NeoGeo: Blue's Journey,PlayStation 4,ADK,"['Action', 'Platformer', '2D']",E,2017-09-07,,0,No score yet,0.0,0.0,0.0,0.0,No user score yet,0.0,1.0,0.0,0.0
ACA NeoGeo: Burning Fight,PlayStation 4,Hamster,"['Action', ""Beat-'Em-Up"", '2D']",T,2017-10-11,"For many years, the Casterota family, a huge crime syndicate, literally ruled over the streets of New York with overpowering control. Two police detectives named Duke Edwards and Billy King fought against the syndicate for years trying to bring to justice the leaders of this murderous clan. Then, just when Duke and Billy were closing in on the family, the Casterota fled the country to Japan. Word has it that the Casterota's have now joined forces with another crime family, the Heiwa-Gumi, and have produced a powerful team of modern-day gangsters that now control most of Osaka. Their looting and criminal activities have reached uncontrollable proportions and the one concerned detective, Ryu Saeba cannot overthrow the combined forces of the two families on his own. This is the action-packed, vandalous story of 3 detectives joining together to ""once and for all"" rid the world of these violent criminals. Can the endless funds of the Casterota's and the Heiwa-Gumi be depleted? Or will the massive forces of these ruthless criminals defeat the efforts of Duke, Billy, and Ryu? One thing is for certain... this jaw-crushing, leg breaking, head-buttin' battle of good guys versus bad will drag you into one helluva BURNING FIGHT!",0,No score yet,0.0,0.0,0.0,0.0,No user score yet,0.0,0.0,0.0,0.0
ACA NeoGeo: Fatal Fury,PlayStation 4,SNK Playmore,"['Action', 'Fighting', '2D']",T,2017-01-12,"Fighting is one of the oldest sports of all time, for warriors being the BEST is the ultimate goal... But being the best can be Fatal. Bogard dedicated his entire life to just that! He trained hard and perfected his martial arts ability. City after city, Bogard defeated the top fighters and earned the right to challenge the notorious Geese Howard. The winner would be champion and would be crowned the ""King of Fighters."" Geese was overpowering and deadly. Bogard underestimated the vicious attacks of Geese. In the brutal battle, Geese kills the brave Bogard, without remorse... Bogard's sons, Andy and Terry, and his friend Joe Higashi were devastated. They swore a vengeance to their father's death. You must help them in their quest for revenge! Be Andy, Terry or Joe and journey from city to city to defeat their top fighters. Use their uncontrollable Fury to reach Geese and avenge Bogard's death in this 2-player simultaneous, 46 MEG, Head-to-Head fighting spectacular!",0,No score yet,0.0,0.0,0.0,0.0,No user score yet,0.0,0.0,1.0,0.0
ACA NeoGeo: Fatal Fury 2,PlayStation 4,Hamster,"['Action', 'Fighting', '2D']",T,2017-06-27,"The three lone wolves return to clash with new opponents in the ""Sultan of Slugs"" Battle Royale. After a year in training, forging bodies of steel, Andy, Joe, and Terry take on the world. The ultimate Bout charged with the power of NEO-GEO's 100 Mega Shock. Fatal Fury 2! Each player can choose the same character from the 8 heroes. Special attacks explode with more action. 3D battles bring you to the next stage in the fighting game evolution. Easy maneuverability and realistic choreography.",0,No score yet,0.0,0.0,0.0,0.0,No user score yet,0.0,0.0,0.0,0.0
ACA NeoGeo: Fatal Fury Special,PlayStation 4,SNK,"['Action', 'Fighting', '2D']",T,2017-07-13,The GRANDMOTHER of all battles! 15 of the FATAL FURY series' top stars gather in the match of the millenium! Use the resurrected Geese Howard and Wolfgang Krauser in a dazzling 3D arena! All you have ever wanted in a fighting game is here in FATAL FURY SPECIAL!,0,No score yet,0.0,0.0,0.0,0.0,No user score yet,2.0,0.0,0.0,0.0
ACA NeoGeo: Galaxy Fight - Universal Warriors,PlayStation 4,Hamster,"['Action', 'Fighting', '2D']",T,2017-04-27,"People have prayed to the gods, but the devil descends from the sky. Your mission is to defeat Felden Kryse, ruler of the underworld. The fantastic challenge ferociously unfolds on eight different planets. Screen image changes on-the-fly to zoom in and out based on how the battle unfolds. Use Dash to your utmost advantage, and speed through the field of infinity.",0,No score yet,0.0,0.0,0.0,0.0,No user score yet,1.0,0.0,0.0,0.0
ACA NeoGeo: Karnov's Revenge,PlayStation 4,Hamster,"['Action', 'Fighting', '2D']",T,2017-12-07,"The quest to defeat the mysterious Baron of Battlers, the mysterious K, is on. In order to get to this grotesque gladiator, however, you need to fight your way through 11 matches with the most skilled, most deadly of all combatants in the world of physical contact. Use your powers of pulverization, psychic energy blasts, and ridiculous strength to become the explosive fighting god in FIGHTERS HISTORY DYNAMITE!",0,No score yet,0.0,0.0,0.0,0.0,No user score yet,0.0,0.0,0.0,0.0
